Lottery Number,Project Name,PHN,Street Name,Boro,NC/Pres,Oversight Agency,Unit Size,Rent,Number of Units,Eligible Household Size,income_min1,income_max1,hh_size2,income_min2,income_max2,hh_size3,income_min3,income_max3,hh_size4,income_min4,income_max4,hh_size5,income_min5,income_max5,hh_size6,income_min6,income_max6,Total Application Count,OPEN APPLICATION PERIOD START,open_year,Project Close,Open Market units
107,2311 Tiebout Avenue,2311,TIEBOUT AVENUE,2,New Construction,HPD,2,1024,10,2,35109,40320,3,35109,45360,4,35109,50340,,,,,,,,,,53082,9/8/14,2014,4/1/16,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,0,494,5,1,18618,23520,,,,,,,,,,,,,,,,78632,9/18/14,2014,10/27/15,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,0,785,13,1,28595,35280,,,,,,,,,,,,,,,,78632,9/18/14,2014,10/27/15,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,1,533,8,1,19989,23520,2,19989,26880,,,,,,,,,,,,,78632,9/18/14,2014,10/27/15,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,1,844,33,1,30652,35280,2,30652,40320,,,,,,,,,,,,,78632,9/18/14,2014,10/27/15,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,2,648,4,2,24000,26880,3,24000,30240,4,24000,33560,,,,,,,,,,78632,9/18/14,2014,10/27/15,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,2,1022,21,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,78632,9/18/14,2014,10/27/15,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,3,743,1,3,27600,30240,4,27600,33560,5,27600,36280,6,27600,38960,,,,,,,78632,9/18/14,2014,10/27/15,
108,Yomo Toro Apartments,222,EAST 104 STREET,1,New Construction,HDC,3,1175,3,3,42412,45360,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,78632,9/18/14,2014,10/27/15,
109,BRADHURST CORNERSTONE PHASE II,274,WEST 117 STREET,1,New Construction,HPD,1,689,2,1,25338,29400,2,25338,33600,,,,,,,,,,,,,62719,9/11/14,2014,12/31/14,
109,BRADHURST CORNERSTONE PHASE II,274,WEST 117 STREET,1,New Construction,HPD,1,844,9,1,30652,35280,2,30652,40320,,,,,,,,,,,,,62719,9/11/14,2014,12/31/14,
109,BRADHURST CORNERSTONE PHASE II,274,WEST 117 STREET,1,New Construction,HPD,2,1022,9,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,62719,9/11/14,2014,12/31/14,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,0,494,8,1,18618,23520,,,,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,0,640,45,1,23623,29400,,,,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,0,1561,103,1,55200,97020,,,,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
